IDpartido,Fecha,Fecha_dia,Local,Puntos_locales,Visitante,Puntos_visitantes,Torneo,Fase,Link
1,24/09/2025 21:30,2025-09-24,BOCA,82,RACING (CH),67,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/EAf9naW3tlhGQ0ylwn2N7Q==/boca-vs-racing-ch
2,25/09/2025 20:30,2025-09-25,PLATENSE,82,FERRO,87,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/BGtSItVwO0Ee4eIANe_Q6A==/platense-vs-ferro
3,25/09/2025 21:00,2025-09-25,LA UNION FSA.,85,REGATAS (C),91,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/bMHZ-3iuikFKNUDEq08Ujg==/la-union-fsa-vs-regatas-c
4,25/09/2025 21:30,2025-09-25,QUIMSA,72,INSTITUTO,73,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/nY-JEs7oMKNKavCK6kqNig==/quimsa-vs-instituto
5,26/09/2025 20:30,2025-09-26,SAN LORENZO,82,PEÑAROL (MDP),74,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/hC6PFyDicNA2iymQU7LSCA==/san-lorenzo-vs-penarol-mdp
6,26/09/2025 21:00,2025-09-26,SAN MARTÍN (C),76,ATENAS (C),49,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/ichFjf1cyeKbSvbg2M-IbQ==/san-martin-c-vs-atenas-c
7,27/09/2025 11:00,2025-09-27,OLÍMPICO (LB),71,INSTITUTO,73,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/FxvWecBJcszg06bAK1oK9A==/olimpico-lb-vs-instituto
8,28/09/2025 20:00,2025-09-28,FERRO,97,PEÑAROL (MDP),84,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/rWFf-56w9n0M6voCc5uyFw==/ferro-vs-penarol-mdp
9,28/09/2025 20:30,2025-09-28,REGATAS (C),85,ATENAS (C),69,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/bqrlhj5t5XgvjLmfEX-oFQ==/regatas-c-vs-atenas-c
10,28/09/2025 21:00,2025-09-28,QUIMSA,99,ARGENTINO (J),71,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/P98j0pdWnuS-I3e1dzXKaQ==/quimsa-vs-argentino-j
11,30/09/2025 21:00,2025-09-30,OBERÁ,85,SAN LORENZO,76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/IvxnAJfeRsnQXl6nnQTEig==/obera-vs-san-lorenzo
12,30/09/2025 22:00,2025-09-30,OLÍMPICO (LB),96,ARGENTINO (J),76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/DhmbXX0mokJqo0pnKZGrOA==/olimpico-lb-vs-argentino-j
13,01/10/2025 22:10,2025-10-01,BOCA,89,SAN MARTÍN (C),56,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/1KUlYwVmNLDpMsTm3qvaxw==/boca-vs-san-martin-c
14,02/10/2025 20:35,2025-10-02,OBRAS,85,REGATAS (C),75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/yQhrr9Ka4vfxP0Wk-In9jQ==/obras-vs-regatas-c
15,02/10/2025 21:00,2025-10-02,INDEPENDIENTE (O),93,INSTITUTO,86,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/fp-45mzLHo3DZ-W7-91SIg==/independiente-o-vs-instituto
16,02/10/2025 21:30,2025-10-02,LA UNION FSA.,89,SAN LORENZO,79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/sSmA1mvK-S404nQ3X76rfw==/la-union-fsa-vs-san-lorenzo
17,03/10/2025 20:30,2025-10-03,GIMNASIA (CR),81,SAN MARTÍN (C),65,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/RVsw-aZsiVRKGVAWKVxLZw==/gimnasia-cr-vs-san-martin-c
18,04/10/2025 11:30,2025-10-04,PEÑAROL (MDP),80,REGATAS (C),84,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/i0LJwKe3XM9zbt9v76c8mw==/penarol-mdp-vs-regatas-c
19,04/10/2025 20:30,2025-10-04,PLATENSE,87,BOCA,97,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/MCkqlkMYmKdQ2aaLCTpNxw==/platense-vs-boca
20,04/10/2025 21:00,2025-10-04,RACING (CH),79,FERRO,89,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/gfMwSW8fmWfc0rj_IfgdzQ==/racing-ch-vs-ferro
21,06/10/2025 20:30,2025-10-06,OBRAS,64,QUIMSA,68,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/Feis3GJwnMkTrrsWV9JuqA==/obras-vs-quimsa
